#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-06-04T01:13:27 [V7.5.1]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-06-04T01:13:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=99999&-source=J/ApJ/608/243/photom&-order=I&-out=Seq&-out=Xpos&-out=Ypos&-out=Bmag&-out=e_Bmag&-out=Vmag&-out=e_Vmag&-out=Icmag&-out=e_Icmag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.1	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_16080243
#Name: J/ApJ/608/243
#Title: CCD BVI photometry of M12 stars (Hargis+, 2004)
#INFO	ivoid=ivo://cds.vizier/j/apj/608/243	    IVOID of underlying data collection
#INFO	creator=Hargis J.R.	    First author or institution
#INFO	cites=bibcode:2004ApJ...608..243H	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2004	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/608/243	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.16080243	    Dataset identifier that can be used for citation
#INFO	publication_date=2004-08-20	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_608_243_photom:
#Name: J/ApJ/608/243/photom
#Title: BVI Photometry for M12 stars
#Column	Seq	(I5)	Sequential number	[ucd=meta.id]
#Column	Xpos	(F8.3)	X coordinate in pixels (1)	[ucd=pos.cartesian.x;instr.det]
#Column	Ypos	(F8.3)	Y coordinate in pixels (1)	[ucd=pos.cartesian.y;instr.det]
#Column	Bmag	(F7.4)	? Johnson B magnitude	[ucd=phot.mag;em.opt.B]
#Column	e_Bmag	(F7.4)	? Johnson B magnitude error	[ucd=stat.error]
#Column	Vmag	(F7.4)	? Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F7.4)	? Johnson V magnitude error	[ucd=stat.error]
#Column	Icmag	(F7.4)	? Cousins I magnitude	[ucd=phot.mag;em.opt.I]
#Column	e_Icmag	(F7.4)	? Cousins I magnitude error	[ucd=stat.error]
Seq	Xpos	Ypos	Bmag	e_Bmag	Vmag	e_Vmag	Icmag	e_Icmag
 4961	1213.623	 973.917	18.9838	 0.0240	18.3252	 0.0182	17.5187	 0.0244
 4962	1023.425	1016.924	18.8959	 0.0279	18.3252	 0.0227	17.6345	 0.0274
 4963	 954.025	 994.295	18.9553	 0.0289	18.3252	 0.0240	17.3860	 0.0335
 4964	1361.324	1249.669	19.0245	 0.0324	18.3256	 0.0147	17.4638	 0.0198
 4965	 827.424	 783.359	18.9817	 0.0250	18.3259	 0.0190	17.5112	 0.0246
 4966	1149.929	1137.662	19.0324	 0.0373	18.3260	 0.0270	17.3932	 0.0300
 4967	1266.630	 854.354	18.9492	 0.0219	18.3266	 0.0154	17.4930	 0.0185
 4968	1378.065	1251.174	18.9972	 0.0255	18.3267	 0.0177	17.4720	 0.0216
 4969	 573.285	1141.147	18.9629	 0.0239	18.3269	 0.0168	17.4743	 0.0190
 4970	 808.620	 989.636	18.9472	 0.0305	18.3274	 0.0191	17.4332	 0.0233
 4971	1147.072	1042.264	19.1945	 0.0457	18.3275	 0.0271	17.5667	 0.0452
 4972	 561.813	 716.283	18.9568	 0.0193	18.3277	 0.0154	17.4544	 0.0201
 4973	1188.111	 754.334	19.1526	 0.0290	18.3278	 0.0157	17.4054	 0.0171
 4974	1203.438	 862.896	18.8046	 0.0409	18.3279	 0.0361	17.1989	 0.0349
 4975	1162.963	 906.655	18.8515	 0.0278	18.3280	 0.0261	17.3360	 0.0288
 4976	1046.991	1120.421	18.8878	 0.0258	18.3282	 0.0153	17.4480	 0.0196
 4977	 993.819	1319.001	18.9688	 0.0203	18.3283	 0.0166	17.4647	 0.0175
 4978	 819.266	1159.715	19.0210	 0.0268	18.3287	 0.0222	17.4651	 0.0311
 4979	 819.168	 731.497	19.1067	 0.0276	18.3288	 0.0147	17.3459	 0.0170
 4980	1222.324	1492.707	18.9422	 0.0256	18.3288	 0.0164	17.4523	 0.0160
 4981	1386.973	 136.284	19.1007	 0.0220	18.3292	 0.0175	17.4945	 0.0187
 4982	1006.462	1098.071	18.6627	 0.0434	18.3294	 0.0485	18.0205	 0.0665
 4983	1060.614	 951.690	18.6940	 0.0386	18.3295	 0.0364	17.1595	 0.0333
 4984	1067.220	1025.400	       	       	18.3302	 0.0926	17.4898	 0.0976
 4985	1142.747	1001.761	18.1517	 0.0210	18.3302	 0.0368	16.7891	 0.0223
 4986	1294.401	 810.786	18.9528	 0.0227	18.3303	 0.0148	17.5604	 0.0191
 4987	1011.467	1089.006	19.0210	 0.0283	18.3308	 0.0212	17.4821	 0.0244
 4988	1837.133	 904.391	19.2524	 0.0280	18.3309	 0.0170	17.1913	 0.0167
 4989	 816.750	 986.331	19.0576	 0.0367	18.3311	 0.0169	17.4303	 0.0223
 4990	1366.721	 799.240	18.9685	 0.0233	18.3312	 0.0183	17.5028	 0.0204
 4991	1056.683	1117.112	19.0130	 0.0259	18.3316	 0.0221	17.5200	 0.0253
 4992	1025.116	1002.030	19.2098	 0.0393	18.3316	 0.0377	17.5875	 0.0308
 4993	1504.533	 842.560	18.9933	 0.0201	18.3316	 0.0164	17.4700	 0.0158
 4994	1039.209	 935.526	18.9153	 0.0421	18.3317	 0.0449	17.8170	 0.0620
 4995	1002.685	1104.472	18.8409	 0.0501	18.3319	 0.0493	17.2435	 0.0315
 4996	 892.508	1714.880	18.9676	 0.0258	18.3319	 0.0158	17.4854	 0.0181
 4997	1165.469	 839.318	18.9583	 0.0269	18.3319	 0.0245	17.4335	 0.0242
 4998	 980.494	1017.933	18.9131	 0.0276	18.3320	 0.0243	17.4374	 0.0337
 4999	1180.882	 940.368	19.1553	 0.0541	18.3325	 0.0456	17.2028	 0.0548
 5000	1211.464	 923.678	18.8808	 0.0273	18.3327	 0.0249	17.3732	 0.0312
 5001	1880.386	 763.136	19.2973	 0.0299	18.3333	 0.0168	17.2890	 0.0175
 5002	 795.129	 980.026	19.0048	 0.0245	18.3340	 0.0171	17.5319	 0.0182
 5003	1097.009	1242.418	18.9627	 0.0339	18.3345	 0.0179	17.4761	 0.0173
 5004	 765.480	1094.949	19.0467	 0.0357	18.3347	 0.0178	17.3166	 0.0280
 5005	 937.444	 838.782	19.0639	 0.0280	18.3348	 0.0244	17.4561	 0.0217
 5006	 892.967	 876.306	18.9849	 0.0314	18.3351	 0.0203	17.5315	 0.0234
 5007	1248.989	1153.894	18.9275	 0.0219	18.3351	 0.0165	17.4918	 0.0201
 5008	1103.934	1081.100	18.8960	 0.0280	18.3354	 0.0222	17.4431	 0.0274
 5009	1110.558	1166.661	18.9687	 0.0275	18.3354	 0.0169	17.4593	 0.0185
 5010	1048.190	1073.500	19.0541	 0.0346	18.3357	 0.0333	17.3596	 0.0428
 5011	 682.052	1107.142	18.9915	 0.0204	18.3358	 0.0154	17.4638	 0.0181
 5012	1064.695	1156.018	18.8172	 0.0299	18.3371	 0.0289	17.2845	 0.0334
 5013	 611.390	   8.369	18.9452	 0.0212	18.3372	 0.0170	17.4691	 0.0160
 5014	1688.044	1473.402	19.1310	 0.0263	18.3377	 0.0158	17.3906	 0.0191
 5015	 923.434	1056.421	18.8814	 0.0310	18.3378	 0.0291	17.6142	 0.0365
 5016	1380.559	1008.419	18.9856	 0.0282	18.3383	 0.0194	17.5186	 0.0223
 5017	 920.513	1237.014	18.9489	 0.0244	18.3383	 0.0161	17.4957	 0.0206
 5018	1244.114	 684.239	19.2038	 0.0291	18.3384	 0.0208	17.3808	 0.0223
 5019	1168.678	1019.448	19.0059	 0.0445	18.3385	 0.0318	17.5035	 0.0479
 5020	1285.573	1294.221	18.9291	 0.0203	18.3385	 0.0153	17.5178	 0.0220
 5021	1321.032	 921.788	19.0818	 0.0230	18.3388	 0.0176	17.5732	 0.0200
 5022	1299.174	 766.719	18.9211	 0.0317	18.3389	 0.0191	17.4680	 0.0203
 5023	1863.265	1298.016	18.9712	 0.0214	18.3389	 0.0172	17.4772	 0.0190
 5024	1011.675	 825.431	18.9858	 0.0246	18.3393	 0.0217	17.4875	 0.0246
 5025	1259.546	 926.751	19.0226	 0.0217	18.3396	 0.0209	17.3842	 0.0219
 5026	1022.212	 813.509	18.9784	 0.0179	18.3403	 0.0178	17.4911	 0.0244
 5027	1111.777	 934.483	19.0206	 0.0582	18.3405	 0.0588	17.5163	 0.0682
 5028	 511.196	 804.584	18.9399	 0.0198	18.3405	 0.0148	17.4885	 0.0186
 5029	1125.519	 879.734	19.0451	 0.0310	18.3408	 0.0248	17.5147	 0.0232
 5030	1662.700	 790.423	19.5172	 0.0438	18.3409	 0.0241	17.1672	 0.0350
 5031	1059.054	1079.588	18.9657	 0.0313	18.3409	 0.0242	17.4428	 0.0277
 5032	1092.479	 978.519	19.0633	 0.0436	18.3412	 0.0397	17.4101	 0.0495
 5033	1270.674	1164.353	18.9422	 0.0299	18.3412	 0.0244	17.4354	 0.0277
 5034	 943.885	1084.745	18.9765	 0.0212	18.3417	 0.0193	17.5006	 0.0214
 5035	 366.251	 740.696	19.2337	 0.0286	18.3419	 0.0151	17.2666	 0.0156
 5036	1049.883	 825.296	19.0149	 0.0220	18.3422	 0.0146	17.4914	 0.0178
 5037	1149.455	 871.966	18.9890	 0.0334	18.3423	 0.0204	17.5247	 0.0308
 5038	 878.151	 857.115	19.0564	 0.0218	18.3427	 0.0168	17.4740	 0.0212
 5039	1183.865	1109.896	19.0067	 0.0261	18.3428	 0.0179	17.5152	 0.0206
 5040	1036.326	 782.111	18.9156	 0.0222	18.3430	 0.0185	17.5020	 0.0226
 5041	 990.335	1283.535	18.7440	 0.0422	18.3434	 0.0261	17.3725	 0.0393
 5042	1248.723	1078.814	18.9969	 0.0240	18.3440	 0.0162	17.4851	 0.0217
 5043	1103.897	1076.977	18.9127	 0.0312	18.3443	 0.0309	17.4246	 0.0423
 5044	1221.373	1452.306	19.0386	 0.0260	18.3446	 0.0189	17.5180	 0.0224
 5045	1016.028	 971.498	18.9720	 0.0310	18.3446	 0.0273	17.5348	 0.0376
 5046	1151.428	1064.135	19.1116	 0.0284	18.3447	 0.0233	17.4011	 0.0346
 5047	1213.140	 918.703	19.1388	 0.0237	18.3456	 0.0262	17.4302	 0.0259
 5048	1085.009	1056.657	19.0105	 0.0354	18.3460	 0.0282	17.3492	 0.0349
 5049	 786.780	1174.787	18.9482	 0.0197	18.3462	 0.0175	17.4417	 0.0232
 5050	 496.983	1308.366	19.0583	 0.0359	18.3464	 0.0169	17.5180	 0.0198
 5051	 897.721	 740.281	18.9706	 0.0204	18.3466	 0.0186	17.5211	 0.0251
 5052	1381.982	 855.318	18.9697	 0.0256	18.3467	 0.0165	17.4716	 0.0210
 5053	1263.936	 932.524	18.8455	 0.0362	18.3468	 0.0239	17.6041	 0.0502
 5054	1044.953	1087.867	19.0395	 0.0315	18.3468	 0.0229	17.5003	 0.0344
 5055	 913.526	1171.755	18.9806	 0.0203	18.3469	 0.0150	17.5174	 0.0180
 5056	1087.502	 939.114	18.8155	 0.0381	18.3469	 0.0292	17.4234	 0.0354
 5057	1427.440	 806.285	19.0228	 0.0230	18.3470	 0.0162	17.4722	 0.0178
 5058	1043.249	 868.304	19.3931	 0.0780	18.3472	 0.0491	       	
 5059	1116.089	1000.936	18.8633	 0.0441	18.3473	 0.0343	17.2345	 0.0374
 5060	1123.205	 984.346	19.0007	 0.0430	18.3474	 0.0403	17.3575	 0.0477
 5061	 420.739	1275.116	18.9958	 0.0247	18.3475	 0.0166	17.4956	 0.0187
 5062	 120.519	1105.227	18.9284	 0.0267	18.3476	 0.0168	17.4465	 0.0170
 5063	1231.972	 752.894	19.0109	 0.0272	18.3478	 0.0211	17.4849	 0.0225
 5064	1008.460	 984.670	18.9019	 0.0567	18.3481	 0.0557	17.2580	 0.0514
 5065	 912.055	1017.839	18.9932	 0.0255	18.3483	 0.0203	17.4339	 0.0250
 5066	1206.073	 902.481	18.9267	 0.0242	18.3489	 0.0153	17.4470	 0.0212
 5067	 984.644	 933.012	19.1287	 0.0811	18.3492	 0.0501	17.4444	 0.0432
 5068	1216.796	1127.296	18.7617	 0.0454	18.3495	 0.0293	17.4998	 0.0338
 5069	1265.551	1151.263	18.5424	 0.0519	18.3496	 0.0411	17.1439	 0.0479
 5070	1259.116	 988.750	19.0593	 0.0268	18.3496	 0.0240	17.5227	 0.0217
 5071	 953.959	1116.494	19.1616	 0.0389	18.3500	 0.0249	17.5849	 0.0316
 5072	1089.205	1773.176	19.2908	 0.0290	18.3501	 0.0171	17.3058	 0.0179
 5073	1037.681	1018.638	18.4510	 0.0505	18.3508	 0.0586	17.3632	 0.0516
 5074	 530.424	1047.691	18.9838	 0.0217	18.3509	 0.0149	17.4712	 0.0198
 5075	1101.396	 882.431	19.1252	 0.0300	18.3512	 0.0206	17.3604	 0.0242
 5076	 723.277	 758.135	19.6702	 0.0357	18.3513	 0.0409	       	
 5077	 814.011	 954.244	18.9683	 0.0231	18.3514	 0.0172	17.5023	 0.0200
 5078	1178.722	 975.623	18.8497	 0.0438	18.3514	 0.0232	17.5922	 0.0389
 5079	   8.144	 863.458	19.6429	 0.0398	18.3517	 0.0193	17.0316	 0.0153
 5080	 847.376	1995.895	19.0415	 0.0263	18.3518	 0.0173	17.4143	 0.0164
 5081	1152.815	 737.460	19.0231	 0.0236	18.3521	 0.0150	17.5294	 0.0185
 5082	1063.774	1083.652	18.8775	 0.0415	18.3523	 0.0372	17.3678	 0.0493
 5083	1004.429	1141.185	18.9862	 0.0294	18.3527	 0.0167	17.4986	 0.0193
 5084	1039.327	1173.531	18.9789	 0.0276	18.3528	 0.0205	17.5562	 0.0266
 5085	 673.425	1583.354	18.9818	 0.0250	18.3529	 0.0161	17.5233	 0.0164
 5086	1744.207	 640.942	19.1534	 0.0198	18.3536	 0.0159	17.3969	 0.0171
 5087	1158.412	 934.291	19.0283	 0.0500	18.3541	 0.0318	17.5129	 0.0332
 5088	1507.840	 804.647	19.0070	 0.0233	18.3542	 0.0167	17.4470	 0.0267
 5089	1057.722	 480.086	19.0046	 0.0189	18.3544	 0.0167	17.4970	 0.0186
 5090	1381.303	1242.314	19.0260	 0.0222	18.3545	 0.0164	17.5179	 0.0193
 5091	 440.493	 615.088	19.0055	 0.0252	18.3551	 0.0175	17.4988	 0.0184
 5092	1293.899	1144.159	19.0107	 0.0238	18.3552	 0.0166	17.4996	 0.0186
 5093	 768.720	1135.414	19.0041	 0.0263	18.3552	 0.0148	17.5295	 0.0183
 5094	1009.682	1265.955	19.0685	 0.0238	18.3552	 0.0142	17.5098	 0.0225
 5095	1047.235	 883.605	18.8918	 0.0246	18.3553	 0.0229	17.4651	 0.0325
 5096	1119.777	 636.251	18.9572	 0.0216	18.3555	 0.0163	17.4638	 0.0189
 5097	1211.554	1093.762	18.9722	 0.0529	18.3558	 0.0269	17.5085	 0.0327
 5098	 847.964	 891.467	18.9522	 0.0390	18.3559	 0.0361	17.5844	 0.0375
 5099	1134.652	 981.951	19.0671	 0.0420	18.3562	 0.0318	17.2663	 0.0390
 5100	 770.231	 768.332	18.9972	 0.0230	18.3563	 0.0164	17.4846	 0.0244
 5101	1573.545	1166.558	18.9893	 0.0203	18.3566	 0.0174	17.4674	 0.0164
 5102	1360.578	1072.092	19.7644	 0.0923	18.3567	 0.0418	17.7266	 0.0927
 5103	1082.985	   9.217	19.0251	 0.0252	18.3569	 0.0151	17.5345	 0.0158
 5104	1114.593	1349.351	18.9845	 0.0261	18.3570	 0.0191	17.5170	 0.0185
 5105	 983.950	1250.053	19.0589	 0.0232	18.3575	 0.0178	17.4838	 0.0230
 5106	 868.160	1149.357	19.0846	 0.0238	18.3575	 0.0165	17.4553	 0.0236
 5107	1041.879	1045.029	18.9163	 0.0473	18.3578	 0.0425	17.0856	 0.0639
 5108	1155.132	 874.845	19.0550	 0.0294	18.3578	 0.0233	17.4110	 0.0233
 5109	1091.368	 783.030	18.8926	 0.0450	18.3583	 0.0344	17.5200	 0.0431
 5110	1146.745	1065.647	19.0182	 0.0305	18.3584	 0.0167	17.4960	 0.0221
 5111	1080.979	1152.483	19.0469	 0.0313	18.3586	 0.0283	17.2179	 0.0365
 5112	1152.637	1742.825	19.0470	 0.0258	18.3586	 0.0188	17.3958	 0.0160
 5113	 894.766	 941.982	19.0640	 0.0272	18.3587	 0.0195	17.4976	 0.0190
 5114	1400.772	 966.955	19.0169	 0.0231	18.3588	 0.0170	17.5719	 0.0197
 5115	 899.364	1333.520	19.0242	 0.0246	18.3589	 0.0176	17.5143	 0.0193
 5116	1632.643	1004.794	18.9693	 0.0225	18.3589	 0.0160	17.4810	 0.0171
 5117	1229.048	 764.786	19.0150	 0.0221	18.3589	 0.0193	17.5589	 0.0175
 5118	1189.149	1181.616	19.1278	 0.0444	18.3590	 0.0230	17.4998	 0.0249
 5119	 835.528	 949.065	18.9806	 0.0260	18.3592	 0.0133	17.4786	 0.0213
 5120	1035.440	 934.348	18.9838	 0.0422	18.3593	 0.0442	17.6728	 0.0416
 5121	1282.723	1160.414	19.0134	 0.0281	18.3593	 0.0234	17.5170	 0.0318
 5122	1353.243	 865.201	18.9865	 0.0228	18.3594	 0.0162	17.4716	 0.0189
 5123	1563.000	1487.041	19.0407	 0.0285	18.3595	 0.0166	17.5126	 0.0177
 5124	 975.316	1339.664	18.9738	 0.0268	18.3596	 0.0173	17.5131	 0.0217
 5125	1248.694	 951.710	19.8111	 0.0671	18.3596	 0.0576	       	
 5126	1102.425	 825.026	19.0453	 0.0296	18.3596	 0.0163	17.5456	 0.0218
 5127	1190.132	1161.517	19.1081	 0.0506	18.3597	 0.0248	17.5005	 0.0271
 5128	1278.295	 959.435	19.0632	 0.0278	18.3600	 0.0212	17.5863	 0.0326
 5129	 828.431	  64.856	19.5124	 0.0268	18.3600	 0.0162	16.9583	 0.0148
 5130	1093.571	 983.966	18.3420	 0.0298	18.3600	 0.0498	17.3710	 0.0364
 5131	 559.061	1322.194	19.3341	 0.0249	18.3602	 0.0172	17.2023	 0.0145
 5132	1359.476	 849.776	19.7473	 0.0656	18.3605	 0.0288	16.5422	 0.0393
 5133	1117.187	 903.915	19.3614	 0.0442	18.3606	 0.0340	17.5874	 0.0368
 5134	1167.901	 876.760	18.9219	 0.0518	18.3612	 0.0432	17.8997	 0.0673
 5135	 384.999	 816.148	19.0344	 0.0205	18.3613	 0.0154	17.4997	 0.0187
 5136	 781.560	 980.479	19.0145	 0.0331	18.3618	 0.0209	17.5566	 0.0262
 5137	 881.342	 965.284	18.9642	 0.0214	18.3618	 0.0164	17.5577	 0.0229
 5138	1209.896	1294.953	19.1255	 0.0376	18.3624	 0.0339	17.7244	 0.0690
 5139	 312.327	1067.232	19.2155	 0.0383	18.3626	 0.0176	17.3183	 0.0214
 5140	 826.211	 579.226	18.9677	 0.0226	18.3628	 0.0159	17.5295	 0.0175
 5141	 319.407	 370.254	18.9979	 0.0219	18.3628	 0.0153	17.4863	 0.0173
 5142	 460.968	1358.540	18.9904	 0.0239	18.3628	 0.0152	17.5189	 0.0202
 5143	1042.165	 835.128	19.0495	 0.0291	18.3628	 0.0223	17.4669	 0.0291
 5144	 472.311	1234.180	19.0123	 0.0251	18.3629	 0.0157	17.4750	 0.0184
 5145	1595.418	 565.822	18.9860	 0.0257	18.3631	 0.0154	17.4920	 0.0192
 5146	1082.436	 917.271	19.1060	 0.0321	18.3633	 0.0266	17.4821	 0.0322
 5147	1173.320	1163.072	19.0159	 0.0398	18.3634	 0.0436	17.4446	 0.0454
 5148	1526.089	1738.042	19.5014	 0.0268	18.3634	 0.0175	17.1561	 0.0146
 5149	1578.980	1394.083	19.0703	 0.0229	18.3635	 0.0144	17.5135	 0.0221
 5150	1132.994	1024.066	19.0213	 0.0374	18.3635	 0.0242	17.5406	 0.0377
 5151	1397.094	1643.407	19.0259	 0.0248	18.3635	 0.0167	17.5259	 0.0169
 5152	 624.744	1060.055	19.0120	 0.0228	18.3638	 0.0152	17.4563	 0.0196
 5153	 803.503	1142.067	19.0145	 0.0228	18.3638	 0.0153	17.5269	 0.0185
 5154	1160.676	 799.596	18.9772	 0.0325	18.3639	 0.0238	17.5103	 0.0282
 5155	1391.075	 994.572	18.9816	 0.0211	18.3640	 0.0156	17.5519	 0.0200
 5156	1473.822	1325.108	19.0027	 0.0271	18.3642	 0.0144	17.4951	 0.0197
 5157	 935.922	1054.045	18.7777	 0.0341	18.3642	 0.0300	17.0578	 0.0361
 5158	1289.284	1064.882	18.9908	 0.0231	18.3643	 0.0235	17.4970	 0.0243
 5159	1037.906	1039.679	19.0544	 0.0489	18.3644	 0.0415	17.5804	 0.0354
 5160	 938.657	1011.688	18.7970	 0.0353	18.3645	 0.0352	17.2654	 0.0367
 5161	 682.027	1131.078	19.0589	 0.0489	18.3645	 0.0678	17.2434	 0.0709
 5162	1059.944	 831.409	19.0545	 0.0231	18.3646	 0.0179	17.4883	 0.0183
 5163	 949.602	 900.620	18.9972	 0.0385	18.3648	 0.0239	17.5431	 0.0380
 5164	1083.474	1342.830	18.9587	 0.0250	18.3649	 0.0196	17.5079	 0.0187
 5165	1321.621	1236.135	18.9304	 0.0181	18.3656	 0.0187	17.4604	 0.0183
 5166	1043.255	1200.753	18.8093	 0.0484	18.3658	 0.0358	17.5156	 0.0346
 5167	1015.663	1047.780	18.9124	 0.0900	18.3658	 0.0481	17.6918	 0.0925
 5168	1515.203	 981.209	18.9864	 0.0234	18.3663	 0.0162	17.5232	 0.0199
 5169	1044.939	 935.410	19.0654	 0.0301	18.3665	 0.0262	17.4466	 0.0324
 5170	1235.937	1035.302	18.8904	 0.0322	18.3665	 0.0224	17.4610	 0.0250
 5171	1318.196	 908.786	18.9541	 0.0272	18.3666	 0.0166	17.4062	 0.0251
 5172	 923.470	 965.258	18.9602	 0.0271	18.3667	 0.0169	17.5623	 0.0268
 5173	1063.149	1059.485	19.0177	 0.0390	18.3668	 0.0380	17.3805	 0.0370
 5174	 818.411	1329.880	19.3597	 0.0233	18.3669	 0.0157	17.1870	 0.0158
 5175	1032.634	 770.274	18.9665	 0.0245	18.3671	 0.0151	17.5332	 0.0171
 5176	 731.717	1027.146	19.0541	 0.0225	18.3671	 0.0137	17.5207	 0.0222
 5177	1045.583	 843.245	19.1304	 0.0424	18.3672	 0.0390	17.6134	 0.0501
 5178	1230.558	 832.831	19.2476	 0.0766	18.3673	 0.0457	17.6318	 0.0651
 5179	 990.724	 840.727	18.7157	 0.0282	18.3676	 0.0243	17.6999	 0.0570
 5180	1194.096	1258.066	19.0282	 0.0258	18.3676	 0.0169	17.5184	 0.0170
 5181	 808.695	 941.453	18.9539	 0.0231	18.3677	 0.0218	17.4910	 0.0253
 5182	1144.652	1142.504	19.0734	 0.0288	18.3677	 0.0192	17.4978	 0.0214
 5183	1054.083	 865.925	18.9348	 0.0686	18.3678	 0.0422	17.6146	 0.0343
 5184	1261.259	 736.400	19.0146	 0.0244	18.3679	 0.0148	17.5527	 0.0194
 5185	1797.757	1831.475	19.2572	 0.0255	18.3683	 0.0177	17.4225	 0.0181
 5186	1006.151	 899.636	19.1414	 0.0316	18.3685	 0.0263	17.3215	 0.0253
 5187	1167.084	1009.648	19.0002	 0.0289	18.3686	 0.0170	17.4491	 0.0221
 5188	 970.268	1361.584	19.0039	 0.0319	18.3686	 0.0211	17.6072	 0.0359
 5189	1050.132	 761.377	19.0093	 0.0249	18.3687	 0.0160	17.5542	 0.0186
 5190	1009.253	1092.610	18.8490	 0.0559	18.3689	 0.0260	17.2723	 0.0319
 5191	1105.581	 977.143	18.9082	 0.0418	18.3689	 0.0424	17.3447	 0.0455
 5192	 839.996	 757.076	18.9736	 0.0283	18.3691	 0.0168	17.5275	 0.0193
 5193	1330.808	 960.965	18.9748	 0.0281	18.3692	 0.0185	17.5518	 0.0257
 5194	1165.793	1936.965	19.5439	 0.0266	18.3694	 0.0168	17.0186	 0.0139
 5195	1077.172	1463.920	19.0685	 0.0204	18.3694	 0.0168	17.5492	 0.0171
 5196	1016.270	1286.177	19.0089	 0.0298	18.3697	 0.0176	17.5801	 0.0227
 5197	1349.584	 820.473	18.8448	 0.0293	18.3698	 0.0208	17.3918	 0.0331
 5198	1020.402	1132.803	19.0730	 0.0492	18.3700	 0.0265	17.6068	 0.0292
 5199	 899.195	1239.478	18.9944	 0.0245	18.3701	 0.0151	17.5033	 0.0184
 5200	1456.248	 678.463	19.0069	 0.0231	18.3703	 0.0189	17.4518	 0.0236
 5201	1020.364	1067.517	18.4452	 0.0519	18.3706	 0.0375	17.1042	 0.0565
 5202	 736.250	1150.965	19.1168	 0.0358	18.3706	 0.0200	17.5259	 0.0167
 5203	1161.615	 947.660	19.1529	 0.0389	18.3710	 0.0328	17.4712	 0.0389
 5204	 723.051	 929.797	19.0588	 0.0265	18.3715	 0.0156	17.4954	 0.0198
 5205	1115.450	1016.757	19.0480	 0.0362	18.3721	 0.0272	17.4494	 0.0305
 5206	1561.920	 855.009	19.0602	 0.0205	18.3722	 0.0144	17.5429	 0.0152
 5207	1163.951	 986.384	19.0840	 0.0704	18.3724	 0.0596	17.4585	 0.0721
 5208	1039.948	 834.080	19.0582	 0.0296	18.3724	 0.0184	17.6561	 0.0249
 5209	1050.813	 852.977	19.0599	 0.0353	18.3727	 0.0195	17.5556	 0.0245
 5210	1140.972	 807.158	19.0436	 0.0244	18.3728	 0.0210	17.5230	 0.0223
 5211	 937.735	 800.534	19.0676	 0.0212	18.3730	 0.0182	17.5668	 0.0208
 5212	1372.601	1648.416	19.0824	 0.0241	18.3731	 0.0178	17.5282	 0.0181
 5213	1121.094	1057.546	19.0958	 0.0296	18.3736	 0.0270	17.5131	 0.0330
 5214	1031.238	1146.039	18.9042	 0.0272	18.3737	 0.0229	17.4705	 0.0277
 5215	1150.231	1090.036	19.0607	 0.0296	18.3737	 0.0209	17.5336	 0.0196
 5216	1021.448	1035.037	19.0908	 0.0445	18.3739	 0.0323	17.5472	 0.0318
 5217	1083.283	1080.685	18.9065	 0.0529	18.3741	 0.0413	17.5232	 0.0355
 5218	1083.080	1006.378	19.3164	 0.0571	18.3744	 0.0366	17.0724	 0.0415
 5219	1040.138	1013.188	18.9306	 0.0430	18.3749	 0.0300	17.1460	 0.0318
 5220	1386.625	1376.846	18.9731	 0.0249	18.3752	 0.0162	17.5503	 0.0211
 5221	 853.457	 859.083	19.0145	 0.0235	18.3752	 0.0266	17.5208	 0.0228
 5222	1158.920	 973.772	19.1621	 0.0444	18.3758	 0.0432	17.5684	 0.0450
 5223	 870.913	 286.610	19.0466	 0.0248	18.3758	 0.0163	17.5582	 0.0180
 5224	1080.346	 902.453	19.2697	 0.0910	18.3760	 0.0288	17.3769	 0.0346
 5225	1088.502	1056.705	19.1863	 0.0446	18.3761	 0.0269	17.5682	 0.0297
 5226	 959.124	 965.926	18.9717	 0.0260	18.3763	 0.0482	17.3339	 0.0397
 5227	1056.740	1038.267	19.0902	 0.0659	18.3766	 0.0469	17.3885	 0.0679
 5228	 898.325	 927.497	19.0586	 0.0255	18.3767	 0.0173	17.5558	 0.0182
 5229	1150.043	 987.425	18.9100	 0.0376	18.3770	 0.0280	17.3456	 0.0349
 5230	1335.748	1468.584	19.0300	 0.0257	18.3770	 0.0138	17.5140	 0.0213
